,SPTR Index,SX5T Index,TPXDDVD Index,HSI 1 Index,TUKXG Index,M1EF Index,LUATTRUU Index,LETGTREU Index,BATY0 Index,EMUSTRUU Index,LF98TRUU Index,LP01TREU Index,LUACTRUU Index,LP06TREU Index,BCIT1T Index,BEIG1T Index,SPGSCI Index,US0003M Index
12/25/2000,,,1423.78,,2820.62,,,,3821.336,,,,,,123.1303,105.6283,,
12/26/2000,1829.826,,1423.9,,2820.62,,1091.58,,3821.891,264.2312,517.68,,1093.0,,123.2174,105.6334,241.4524,
12/27/2000,1849.341,5967.76,1419.85,,2880.17,,1088.24,,3820.321,264.3848,517.56,104.3,1090.07,107.01,122.9604,105.667,242.7579,6.43813
12/28/2000,1856.764,6030.22,1417.33,,2882.51,,1087.65,,3814.351,264.6465,517.04,104.89,1088.88,107.0,122.812,105.604,240.5072,6.40125
12/29/2000,1837.365,6032.1,1408.66,,2882.16,100.0,1087.91,113.1,3815.916,265.0728,517.12,104.55,1089.65,107.11,122.9028,105.6344,246.9237,6.39875
12/30/2000,,,,,,,,,3816.474,,,,,,,,,
12/31/2000,,,,,,,,,3817.03,,,,,,,,,
01/01/2001,,,,,,99.9,,,3817.59,,,,,,122.9028,105.6344,,
01/02/2001,1785.86,5943.23,,,2860.18,100.02,1099.3,,3819.83,265.2704,518.34,104.29,1100.86,107.56,124.041,105.9109,239.3006,6.37125
01/03/2001,1875.564,5891.16,,,2797.71,100.67,1089.3,,3842.1,266.5254,518.07,104.6,1094.35,107.84,123.7555,106.1053,240.5756,6.28625
01/04/2001,1855.818,6007.74,1405.66,,2865.21,104.19,1095.18,,3828.483,268.1968,520.66,105.72,1100.92,107.72,124.3134,106.05,245.3194,5.86625
01/05/2001,1807.128,5984.69,1423.31,,2870.99,104.58,1100.13,,3839.731,268.6308,523.05,105.72,1109.07,107.83,125.2718,106.2513,246.2144,5.695
01/06/2001,,,,,,,,,3840.271,,,,,,,,,
01/07/2001,,,,,,,,,3840.824,,,,,,,,,
01/08/2001,1804.038,5955.41,,,2848.53,104.46,1101.9,,3842.963,268.4073,524.19,105.95,1112.19,107.88,125.3392,106.3528,244.6652,5.61625
01/09/2001,1810.981,5867.53,1395.17,,2820.06,105.58,1098.86,,3843.785,268.8654,527.0,106.47,1108.58,107.69,125.276,106.3442,244.8072,5.62375
01/10/2001,1828.496,5813.64,1376.19,,2806.96,104.86,1093.97,,3851.466,268.583,526.85,107.4,1103.38,107.5,124.7363,106.2477,246.4047,5.65
01/11/2001,1847.367,5925.38,1349.87,,2832.45,105.1,1090.89,,3849.48,269.1879,532.7,107.74,1104.97,107.53,124.7161,106.4376,243.2762,5.67625
01/12/2001,1835.535,5989.95,1358.41,,2855.91,105.99,1085.17,,3846.296,269.6365,534.31,109.62,1098.81,107.06,124.6116,106.0457,242.1895,5.67875
01/13/2001,,,,,,,,,3846.844,,,,,,,,,
01/14/2001,,,,,,,,,3847.39,,,,,,,,,
01/15/2001,,6022.29,1370.22,,2858.12,106.44,,,3833.037,,,109.97,,107.26,124.6116,105.9845,,5.74125
01/16/2001,1847.133,5934.16,1390.9,,2817.81,106.94,1087.18,,3836.925,269.5961,535.9,109.74,1100.84,107.12,124.7632,105.9082,239.4679,5.73875
01/17/2001,1851.162,6052.53,1405.06,,2870.65,108.09,1092.06,,3831.273,271.0074,537.35,110.48,1106.14,107.37,124.8739,106.0099,230.6765,5.73875
01/18/2001,1876.941,6011.47,1438.67,,2876.45,109.54,1097.15,,3849.976,271.6989,540.37,110.83,1112.35,107.31,125.0291,105.9556,235.1698,5.64875
01/19/2001,1869.384,5967.3,1440.62,,2876.19,111.19,1092.17,,3853.987,271.7873,540.79,111.36,1109.54,107.36,125.1421,105.8177,241.5699,5.61125
01/20/2001,,,,,,,,,3854.525,,,,,,,,,
